,Aplicativo,Tempo de uso,Número de acessos,hora,minuto,segundo
186,Gravador de Tela,0:05:19,27.0,0,5,19
187,Downloader for Instagram,0:05:06,16.0,0,5,6
188,PowerMaster,0:05:00,31.0,0,5,0
189,Planilhas,0:04:38,2.0,0,4,38
190,Méqui,0:04:19,5.0,0,4,19
191,Moon+ Reader,0:04:15,3.0,0,4,15
192,VHS Cam,0:03:50,2.0,0,3,50
193,Python,0:03:44,1.0,0,3,44
194,Sticker Studio,0:03:42,9.0,0,3,42
195,Dropbox,0:03:40,2.0,0,3,40
196,Paint my Room,0:03:30,4.0,0,3,30
197,Etar,0:03:24,2.0,0,3,24
198,Treino em Casa,0:03:22,2.0,0,3,22
199,Figurinhas Personalizadas para WhatsApp,0:03:19,15.0,0,3,19
200,Pomodoro Timer,0:03:16,3.0,0,3,16
201,Decibelímetro,0:03:08,5.0,0,3,8
202,Cyber Dude,0:03:03,2.0,0,3,3
203,Gravador de Voz Fácil,0:02:49,7.0,0,2,49
204,WebStorage,0:02:46,2.0,0,2,46
205,Sound Meter,0:02:46,5.0,0,2,46
206,TRIVIA 360,0:02:42,2.0,0,2,42
207,Mr.Who,0:02:41,3.0,0,2,41
208,Smart Note,0:02:34,6.0,0,2,34
209,Tangle Master 3D,0:02:31,1.0,0,2,31
210,Card Party,0:02:30,1.0,0,2,30
211,De Olho na Nota,0:02:25,3.0,0,2,25
212,Marcador de página,0:02:20,6.0,0,2,20
213,Adicione texto,0:02:19,2.0,0,2,19
214,Bubble Level,0:02:18,5.0,0,2,18
215,Falling Lightblocks,0:02:16,1.0,0,2,16
216,Wanna Kicks,0:02:15,2.0,0,2,15
217,Compass Free,0:02:10,2.0,0,2,10
218,Visualizador do disparo contínuo,0:02:05,3.0,0,2,5
219,Hydrillo,0:01:59,3.0,0,1,59
220,Tales Rush,0:01:45,4.0,0,1,45
221,Agenda Fácil,0:01:41,1.0,0,1,41
222,Sound Meter,0:01:38,3.0,0,1,38
223,Background Eraser,0:01:37,5.0,0,1,37
224,VAGAS,0:01:34,1.0,0,1,34
225,Armazenamento de mídia,0:01:32,3.0,0,1,32
226,Hoplite,0:01:31,2.0,0,1,31
227,e-Título,0:01:21,1.0,0,1,21
228,Beber Água,0:01:19,3.0,0,1,19
229,Evaluation Wheel,0:01:13,3.0,0,1,13
230,Video Downloader,0:01:11,4.0,0,1,11
231,Google Play Games,0:01:10,13.0,0,1,10
232,Beber água - Aquário,0:01:01,1.0,0,1,1
233,FLIP,0:01:01,3.0,0,1,1
234,Pretty Love,0:01:00,8.0,0,1,0
235,Water Time,0:00:58,2.0,0,0,58
236,Google Sala de Aula,0:00:56,2.0,0,0,56
237,Lapse 2,0:00:55,1.0,0,0,55
238,Criar Stickers,0:00:53,4.0,0,0,53
239,Airbnb,0:00:51,1.0,0,0,51
240,ADV Gravador de Telas,0:00:48,2.0,0,0,48
241,Bitmoji,0:00:48,9.0,0,0,48
242,Drops,0:00:46,1.0,0,0,46
243,Calcy IV,0:00:42,4.0,0,0,42
244,Cronômetro,0:00:39,5.0,0,0,39
245,Liv Up,0:00:38,1.0,0,0,38
246,Memes Stickers BR,0:00:37,1.0,0,0,37
247,Lightroom,0:00:35,4.0,0,0,35
248,Glow Block Puzzle,0:00:34,1.0,0,0,34
249,Pomodoro Timer,0:00:34,1.0,0,0,34
250,Bubble,0:00:34,2.0,0,0,34
251,Drink Water Reminder,0:00:31,5.0,0,0,31
252,Eventbrite,0:00:26,1.0,0,0,26
253,FOTAService,0:00:25,1.0,0,0,25
254,Word,0:00:24,4.0,0,0,24
255,Wrike,0:00:19,1.0,0,0,19
256,Splendid,0:00:19,1.0,0,0,19
257,Afterlight,0:00:18,1.0,0,0,18
258,Quiromancia,0:00:14,2.0,0,0,14
259,Decibelímetro,0:00:12,2.0,0,0,12
260,500px,0:00:12,1.0,0,0,12
261,Tetris,0:00:09,1.0,0,0,9
262,Comente sobre o Market,0:00:07,3.0,0,0,7
263,Stickers,0:00:05,1.0,0,0,5
264,EWA,0:00:05,2.0,0,0,5
265,Gravador de som,0:00:04,1.0,0,0,4
266,Game Genie,0:00:03,1.0,0,0,3
267,Bluetooth,0:00:03,5.0,0,0,3
268,Tower,0:00:02,1.0,0,0,2
269,Protetor Pessoal,0:00:01,1.0,0,0,1
