"version=1"
""
"Sys category id"	"Name"
"-1"	"Outros"
"0"	"Jogos"
"1"	"Música e áudio"
"2"	"Filmes e vídeos"
"3"	"Fotos e imagens"
"4"	"Social e comunicação"
"5"	"Notícias e revistas"
"6"	"Mapas e navegação"
"7"	"Produtividade"
""
"App"	"Package"	"Category"	"User-defined"
"ProxyHandler"	"com.android.proxyhandler"	"Outros"	"0"
"Teclado ZenUI"	"com.asus.ime"	"Produtividade"	"0"
"System Diagnostic"	"com.asus.sysdiagnostic"	"Outros"	"0"
"Comente sobre o Market"	"com.google.android.feedback"	"Outros"	"0"
"Print Service Recommendation Service"	"com.google.android.printservice.recommendation"	"Outros"	"0"
"Fotos"	"com.google.android.apps.photos"	"Fotos e imagens"	"0"
"Asus Analytics"	"com.asus.as"	"Outros"	"0"
"FOTAService"	"com.asus.dm"	"Outros"	"0"
"Agenda"	"com.google.android.calendar"	"Produtividade"	"0"
"Configuração do perfil de trabalho"	"com.android.managedprovisioning"	"Outros"	"0"
"Device Health"	"com.asus.sysmonitor"	"Outros"	"0"
"Spotify"	"com.spotify.music"	"Música e áudio"	"0"
"Kuji Cam"	"com.ginnypix.kujicam"	"Fotos e imagens"	"0"
"Visualizador do disparo contínuo"	"com.asus.ephotoburst"	"Outros"	"0"
"Facebook"	"com.facebook.katana"	"Social e comunicação"	"0"
"Screenshot+"	"com.asus.stitchimage"	"Outros"	"0"
"com.android.providers.partnerbookmarks"	"com.android.providers.partnerbookmarks"	"Outros"	"0"
"com.android.smspush"	"com.android.smspush"	"Outros"	"0"
"Opções de plano de fundo interativo"	"com.android.wallpaper.livepicker"	"Outros"	"0"
"Tags"	"com.android.apps.tag"	"Outros"	"0"
"Messenger"	"com.facebook.orca"	"Social e comunicação"	"0"
"Atualizar Inicializador"	"com.asus.UpdateLauncher"	"Outros"	"0"
"com.asus.keyboard"	"com.asus.keyboard"	"Outros"	"0"
"Facebook App Installer"	"com.facebook.system"	"Outros"	"0"
"Sinônimos"	"com.cbcnos.sinonimos"	"Outros"	"0"
"ZenUI Help"	"com.asus.userfeedback"	"Produtividade"	"0"
"com.asus.sensorapi.service"	"com.asus.sensorapi.service"	"Outros"	"0"
"Tradutor"	"com.google.android.apps.translate"	"Produtividade"	"0"
"MyASUS"	"com.asus.ia.asusapp"	"Produtividade"	"0"
"Transferência de backup do Google"	"com.google.android.backuptransport"	"Outros"	"0"
"ASUS Config Updater"	"com.asus.configupdater"	"Outros"	"0"
"Gerenciador de armazenamento"	"com.android.storagemanager"	"Outros"	"0"
"PicPay"	"com.picpay"	"Produtividade"	"0"
"Bookmark Provider"	"com.android.bookmarkprovider"	"Outros"	"0"
"Configurações"	"com.android.settings"	"Outros"	"0"
"com.qualcomm.qti.ims"	"com.qualcomm.qti.ims"	"Outros"	"0"
"Bug Reporter"	"com.asus.loguploader"	"Outros"	"0"
"Felbridge FlipFont"	"com.monotype.android.font.felbridge"	"Outros"	"0"
"Bug Reporter Proxy"	"com.asus.loguploaderproxy"	"Outros"	"0"
"LocationServices"	"com.qualcomm.location"	"Outros"	"0"
"com.android.cts.ctsshim"	"com.android.cts.ctsshim"	"Outros"	"0"
"AudioWizardService"	"com.asus.maxxaudio"	"Outros"	"0"
"Secure UI Service"	"com.qualcomm.qti.services.secureui"	"Outros"	"0"
"Skoob"	"com.gaudium.skoob"	"Produtividade"	"0"
"VpnDialogs"	"com.android.vpndialogs"	"Outros"	"0"
"Notas do Keep"	"com.google.android.keep"	"Produtividade"	"0"
"Telephony Service"	"com.android.phone"	"Outros"	"0"
"Shell"	"com.android.shell"	"Outros"	"0"
"Temas"	"com.asus.themeapp"	"Outros"	"0"
"com.android.wallpaperbackup"	"com.android.wallpaperbackup"	"Outros"	"0"
"Armazenamento de números bloqueados"	"com.android.providers.blockednumber"	"Outros"	"0"
"Dicionário do usuário"	"com.android.providers.userdictionary"	"Outros"	"0"
"Informações de emergência"	"com.android.emergency"	"Outros"	"0"
"QMMI"	"com.qualcomm.qti.qmmi"	"Outros"	"0"
"Câmera"	"com.asus.camera"	"Outros"	"0"
"Localização combinada"	"com.android.location.fused"	"Outros"	"0"
"Interf sist"	"com.android.systemui"	"Outros"	"0"
"Bluetooth MIDI Service"	"com.android.bluetoothmidiservice"	"Outros"	"0"
"ConfDialer"	"com.qualcomm.qti.confdialer"	"Outros"	"0"
"Facebook App Manager"	"com.facebook.appmanager"	"Outros"	"0"
"com.asus.gamewidget.service"	"com.asus.gamewidget.service"	"Outros"	"0"
"com.qualcomm.qti.networksetting"	"com.qualcomm.qti.networksetting"	"Outros"	"0"
"InadvertentTouch"	"com.asus.inadvertentTouch"	"Outros"	"0"
"Assistente de configuração"	"com.asus.setupwizard"	"Outros"	"0"
"Modo fácil"	"com.asus.easylauncher"	"Outros"	"0"
"ASUS Demo"	"com.asus.livedemo"	"Outros"	"0"
"Google Play Games"	"com.google.android.play.games"	"Outros"	"0"
"com.qualcomm.qtil.aptxui"	"com.qualcomm.qtil.aptxui"	"Outros"	"0"
"Bluetooth"	"com.android.bluetooth"	"Outros"	"0"
"com.qualcomm.timeservice"	"com.qualcomm.timeservice"	"Outros"	"0"
"com.qualcomm.embms"	"com.qualcomm.embms"	"Outros"	"0"
"Armazenamento de contatos"	"com.android.providers.contacts"	"Outros"	"0"
"CaptivePortalLogin"	"com.android.captiveportallogin"	"Outros"	"0"
"Modo criança"	"com.asus.kidslauncher"	"Outros"	"0"
"Syndor FlipFont"	"com.monotype.android.font.syndor"	"Outros"	"0"
"Bloqueio de tela"	"com.asus.lockscreen2"	"Outros"	"0"
"PowerMaster"	"com.asus.powersaver"	"Outros"	"0"
"Twin Apps"	"com.asus.twinapps"	"Outros"	"0"
"Gboard"	"com.google.android.inputmethod.latin"	"Produtividade"	"0"
"Kindle"	"com.amazon.kindle"	"Produtividade"	"0"
"Layout"	"com.instagram.layout"	"Fotos e imagens"	"0"
"OneNote"	"com.microsoft.office.onenote"	"Produtividade"	"0"
"Telegram"	"org.telegram.messenger"	"Social e comunicação"	"0"
"ezPDF Reader"	"udk.android.reader"	"Produtividade"	"0"
"Carrier Services"	"com.google.android.ims"	"Social e comunicação"	"0"
"Snapchat"	"com.snapchat.android"	"Social e comunicação"	"0"
"Google Notícias"	"com.google.android.apps.magazines"	"Notícias e revistas"	"0"
"Easynvest"	"br.com.easynvest.rendafixa"	"Produtividade"	"0"
"Forest"	"cc.forestapp"	"Produtividade"	"0"
"Logcat Pool"	"com.asus.logcatpool"	"Outros"	"0"
"Pizzaria Bella Castelli"	"com.wabiz.delivery.bellacastelli"	"Outros"	"0"
"OneDrive"	"com.microsoft.skydrive"	"Produtividade"	"0"
"Outlook"	"com.microsoft.office.outlook"	"Produtividade"	"0"
"iFood"	"br.com.brainweb.ifood"	"Outros"	"0"
"Brasfoot 2018"	"com.brasfoot.app"	"Jogos"	"0"
"Yellow"	"br.com.yellow"	"Outros"	"0"
"Musixmatch"	"com.musixmatch.android.lyrify"	"Música e áudio"	"0"
"Day Counter"	"mmpud.project.daycountwidget"	"Outros"	"0"
"Firefox"	"org.mozilla.firefox"	"Notícias e revistas"	"1"
